RPFD, EPFD, Merged, Simple, WAH, EWAH 
0.00605011,0.00605011,0.00605011,0.000556946,6.37524,0.000556946
32.0099,32.0099,32.0099,0.000686646,9.97098,0
64.0387,66.3669,64.0387,0.000686646,13.7822,0.000999451
67.0783,66.3664,66.2642,0.000556946,25.0867,0.00244904
67.0778,66.3664,66.2637,0,25.0867,0.00302887
67.0778,66.3664,66.2637,0.0001297,31.8913,0.0350266
67.0778,66.3664,66.2637,0.000183105,31.8914,0.0379105
67.0778,66.3664,66.2637,0.00025177,27.9443,0.0424881
67.0778,66.3664,66.2637,0.000335693,27.9444,0.0470657
67.0783,66.3664,66.2637,0.000450134,31.7647,0.050087
67.0778,66.3664,66.2637,0.00100708,32.2022,0.0512314
67.0778,66.3664,66.2637,0.00156403,33.0772,6.33123
67.0778,66.3664,66.2637,0.00212097,33.0772,6.33123
67.0778,66.3664,66.2637,0.00267792,34.8272,3.19144
67.0778,66.3664,66.2637,0.00280762,34.8272,9.89182
67.0778,66.3664,66.2637,0.00293732,38.331,9.89182
67.0778,66.3664,66.2637,0.00306702,38.3311,6.5416
67.0778,66.3664,66.2637,0.00310516,31.7784,13.6641
67.0778,66.3664,66.2637,0.00312805,31.7785,13.6641
67.0778,66.3664,66.2637,0.00324249,35.813,10.1028
67.0778,66.3664,66.2637,0.00379944,36.2505,10.1473
67.0778,66.3664,66.2637,0.00435638,37.1255,10.1517
67.0778,66.3664,66.2637,0.00491333,37.1255,10.1561
67.0778,66.4934,66.2637,0.00547028,38.8755,10.161
67.0778,66.4934,66.2637,0.00559998,38.8755,10.1632
67.0778,66.4934,66.2637,0.00572968,42.3793,10.1655
67.0778,66.4934,66.2637,0.00585938,42.3794,24.9232
67.0778,66.4934,66.2637,0.00589752,36.8878,17.5444
67.0778,66.4934,66.2637,0.00592041,36.8878,31.6927
67.0778,66.4934,66.3536,0.0059433,51.7785,31.6927
67.0778,66.4934,66.3536,0.00596619,52.4348,24.6185
67.0778,66.4934,66.3536,0.00605011,53.7473,27.7586
67.0778,66.4934,66.3536,32.0099,52.8722,34.2507
67.0778,66.4934,66.3536,64.0138,56.3723,31.1109
67.0778,66.4934,66.3536,64.0138,54.6222,38.7437
67.0778,66.4934,66.3536,64.0139,61.6261,32.2516
67.3805,66.4934,66.3536,64.0247,58.1261,36.8648
67.3805,66.4934,66.3536,64.0274,72.13,36.6109
67.3805,66.4934,66.3536,64.0302,72.13,50.7554
67.3805,66.4934,66.3536,64.0356,65.1261,58.1304
67.3805,66.4934,66.3536,64.0356,72.7433,50.7515
67.3805,66.4934,66.3536,64.0247,63.0637,60.4233
67.3805,66.4934,66.3536,64.0248,63.1457,55.8101
67.3805,66.4934,66.3536,64.0249,63.091,41.6402
67.3805,66.4934,66.3536,64.0387,63.3098,41.3532
67.3805,66.4934,66.3536,64.0421,63.2004,41.3407
67.3805,66.4934,66.3536,64.0456,63.6379,19.8087
67.3805,66.4934,66.3536,64.0525,63.4191,19.768
67.3805,66.4934,66.3536,64.0387,39.216,19.7588
67.3805,66.4934,66.3536,66.2637,25.212,19.7586
67.3805,66.4934,66.3536,74.3222,25.2121,19.7585
67.3805,66.4934,66.3536,74.3222,25.212,19.7583
67.3805,66.4934,66.3536,72.0972,25.2121,19.7581
67.3805,64.099,66.3536,74.4121,25.2121,19.7579
67.3805,64.0387,66.3536,84.2831,25.2122,19.7577
67.3805,,66.3536,84.2831,25.2124,19.7575
67.3805,,66.3536,81.9683,25.2128,19.7574
67.3805,,66.3536,82.0285,25.2135,19.7572
67.3805,,66.3536,81.9683,25.213,19.757
67.3805,,66.3536,81.9682,25.215,19.7568
67.3805,,66.3536,81.9681,25.214,19.7566
67.3805,,66.3536,81.9681,25.2179,19.7564
67.3805,,66.3536,81.9679,25.2159,19.7563
67.3805,,66.3536,81.9679,25.2238,19.7561
67.3805,,66.3536,81.9678,25.2198,19.7559
67.3805,,66.3536,81.9677,25.2355,19.7557
67.3805,,66.3536,81.9677,25.2277,19.7555
67.3805,,66.3536,81.9677,25.2589,19.7553
67.3805,,66.3536,,25.2433,19.7552
67.3805,,66.3536,,25.3058,19.755
67.3805,,66.3536,,25.2745,19.7548
67.3805,,64.099,,25.3995,19.7546
67.3805,,64.0387,,25.337,19.7544
67.3805,,,,25.587,19.7542
67.3805,,,,25.462,19.7541
67.3805,,,,25.4617,19.7539
67.3805,,,,25.4613,9.7026
67.3805,,,,25.2044,9.70242
67.3805,,,,17.7747,9.70223
67.3805,,,,10.6575,9.70205
67.3805,,,,10.6568,9.70187
67.3805,,,,10.6568,9.70168
67.3805,,,,10.6169,9.7015
67.3805,,,,7.44708,9.7009
67.3805,,,,4.0643,0.000999451
67.3805,,,,0.4673,0
67.3805,,,,0.466637,
67.3805,,,,0.439613,
67.3805,,,,0.000999451,
67.3805,,,,0,
67.3805,,,,,
67.3805,,,,,
67.3805,,,,,
64.099,,,,,
64.0387,,,,,
