RPFD, EPFD, Merged, Simple, WAH, EWAH 
197.654,146.497,145.884,0.000556946,67.6059,433.874
197.653,146.497,145.884,0.000686646,131.332,463.956
197.653,146.497,145.884,0.000686646,219.183,441.479
197.653,146.497,145.884,0,292.459,487.768
197.653,146.497,145.884,0.00025177,387.201,460.717
197.653,146.497,145.884,0.00075531,416.99,511.088
197.653,146.497,145.884,0.00131226,462.139,479.877
197.653,146.497,145.884,0.00341034,455.135,529.198
197.653,146.497,145.884,0.00343323,451.529,494.948
197.653,146.497,145.884,0.00466156,462.033,537.631
197.653,146.497,145.884,0.0062027,434.174,503.331
197.653,146.497,145.884,0.00622559,485.928,513.233
197.653,146.497,145.884,0.00745392,506.928,509.639
197.653,146.497,145.884,0.00899506,500.064,543.588
197.653,146.497,145.884,0.00901794,500.064,516.702
197.653,146.497,145.884,0.0102463,464.045,523.19
197.653,146.497,145.884,0.0117874,457.033,528.557
197.653,146.497,145.884,0.0120163,453.279,535.002
197.653,146.497,145.884,32.0159,449.715,538.514
197.653,146.497,145.884,64.0197,452.428,541.749
197.653,146.497,145.884,64.0307,459.404,544.635
197.653,146.497,89.1493,64.0334,486.99,547.042
197.653,146.497,89.1493,64.0415,474.217,548.908
197.653,146.497,89.1493,64.0415,486.377,580.541
197.653,146.497,128.294,64.0447,486.064,567.431
197.653,146.497,128.294,64.0481,453.209,592.189
197.653,146.497,128.294,64.0585,467.213,599.501
197.653,146.497,128.294,64.0446,478.463,582.033
197.653,146.497,128.294,64.0456,475.721,606.935
99.0048,146.497,128.294,64.0595,482.721,617.501
99.0048,146.497,128.294,64.063,489.068,627.716
99.0048,146.497,128.294,64.0735,484.943,635.287
99.0048,146.497,128.294,64.0595,495.447,613.587
99.0048,146.497,128.294,145.884,474.213,613.689
99.0048,90.4618,128.294,929.505,467.209,642.271
99.0048,90.4618,128.294,929.505,487.404,620.294
99.0048,90.4618,128.294,847.681,467.209,648.709
99.0048,90.4618,128.294,872.77,486.978,626.677
99.0048,90.4618,128.294,969.122,533.275,638.181
127.333,129.704,128.294,969.122,533.275,631.123
127.333,129.704,128.294,944.032,473.943,628.462
127.333,129.704,128.294,1008.27,480.943,628.212
127.333,129.704,128.294,1760,474.213,627.939
127.333,129.704,128.294,1760,481.213,627.72
127.333,129.704,128.294,1695.76,481.213,627.552
127.333,129.704,82.0282,1713.73,486.447,632.197
127.333,129.704,82.0282,1780.63,481.213,636.724
127.333,129.704,66.1776,1780.63,483.818,662.416
127.333,129.704,64.0595,1762.66,480.021,644.193
127.333,129.704,,1764.78,490.525,644.154
127.333,129.705,,1762.66,474.213,644.154
127.333,129.704,,1762.66,495.213,644.177
127.333,129.704,,1762.66,486.334,644.232
127.333,129.704,,1762.66,521.338,644.283
127.333,129.704,,1762.66,474.213,644.353
127.333,129.704,,1762.66,509.217,642.466
127.333,129.704,,1762.66,474.213,630.033
127.333,129.704,,1762.66,509.217,637.068
127.333,129.704,,1762.66,474.213,638.357
127.333,129.704,,1762.66,509.217,638.802
127.333,129.704,,1762.66,474.213,638.943
127.333,129.704,,1762.66,495.213,644.455
127.333,129.704,,,480.103,649.56
127.333,129.704,,,501.103,670.634
88.4618,129.704,,,480.146,654.365
88.4618,129.704,,,501.146,658.857
88.4618,129.704,,,500.244,658.689
88.4618,129.704,,,457.369,656.134
88.4618,129.704,,,467.873,642.852
88.4618,129.704,,,466.892,645.395
88.4618,129.704,,,461.244,643.699
88.4618,129.704,,,473.498,
88.4618,129.704,,,466.135,
88.4618,129.704,,,465.236,
88.4618,129.704,,,478.365,
88.4618,129.704,,,470.713,
66.1776,129.704,,,464.006,
64.0595,129.704,,,477.135,
,129.704,,,469.58,
,129.704,,,454.959,
,129.704,,,467.213,
,129.704,,,445.209,
,83.1767,,,,
,83.1767,,,,
,83.1767,,,,
,83.1767,,,,
,83.1767,,,,
,66.1776,,,,
,64.0595,,,,
