RPFD, EPFD, Merged, Simple, WAH, EWAH 
128.699,98.6753,98.6323,0.000556946,190.538,0
128.699,98.6753,98.6323,0.000686646,454.987,675.009
128.699,98.6753,98.6323,0.000686646,622.672,719.153
128.699,98.6753,98.6323,0.000556946,660.398,694.115
128.699,98.6753,98.6323,0,656.285,735.155
128.699,98.6753,98.6323,0.000190735,619.244,772.666
128.699,98.6753,98.6323,0.000274658,625.316,789.705
262.816,98.6753,98.6323,0.00037384,623.57,804.823
262.816,98.6753,98.6323,0.00050354,635.785,818.038
262.816,98.6753,98.6323,0.000617981,642.859,799.319
262.816,98.6753,98.6323,0.00117493,658.574,840.112
262.816,98.6753,98.6323,0.00173187,699.898,822.331
262.816,98.6753,98.6323,0.00228882,671.348,835.651
262.816,98.6753,98.6323,0.00284576,663.422,841.838
262.816,98.6753,222.047,0.00297546,662.824,853.518
262.816,227.023,222.046,0.00310516,702.086,859.123
262.816,227.023,222.046,0.00323486,665.809,869.858
262.816,227.023,222.046,0.00327301,672.574,874.975
262.816,227.023,222.046,0.0032959,685.34,884.389
262.816,227.023,222.046,0.00341034,684.629,884.342
262.816,227.023,222.046,0.00396729,684.012,884.288
262.816,227.023,222.046,0.00452423,683.512,884.213
262.816,227.023,222.046,0.00508118,683.332,890.28
262.816,227.023,222.046,0.00563812,682.957,896.159
262.816,227.023,222.046,0.00576782,666.184,901.772
262.816,227.023,222.046,0.00589752,651.574,907.237
262.816,227.023,222.046,0.00602722,651.574,915.87
262.816,227.023,222.046,0.00606537,672.574,921.62
262.816,227.023,222.046,0.00608826,672.574,920.858
262.816,227.023,222.046,0.0062027,684.984,920.045
262.816,227.023,222.046,0.00675964,684.594,919.221
262.816,227.023,222.046,0.00731659,684.16,922.333
262.816,227.023,222.046,0.00787354,662.691,921.63
262.816,227.023,222.046,0.00843048,673.504,955.936
262.816,227.023,222.046,0.00856018,686.859,934.067
262.816,227.023,100.425,0.00868988,685.559,938.735
262.816,227.023,100.425,0.00881958,684.184,942.59
262.816,100.425,100.425,0.00885773,661.809,945.825
262.816,100.425,100.425,0.00888062,668.137,948.633
262.816,100.425,100.425,0.0089035,644.57,951.079
262.816,100.425,100.425,0.00892639,680.352,953.211
262.816,100.425,100.425,0.00905609,679.316,955.089
91.1128,100.425,100.425,32.0129,678.434,957.869
91.1128,100.425,100.425,64.0168,678.453,959.695
91.1133,100.425,100.425,64.0168,677.355,961.221
91.1128,100.425,100.425,64.0169,676.508,962.509
91.1128,100.425,100.425,64.0277,675.907,985.723
91.1133,100.425,100.425,64.0304,675.446,966.279
269.249,100.425,100.425,64.0332,675.064,967.613
269.249,100.425,100.425,64.0386,660.747,968.513
,100.425,100.425,64.0386,649.109,969.592
,100.425,100.426,64.0277,661.078,970.323
,100.425,100.425,64.0278,648.36,970.832
,100.425,100.425,64.0279,660.423,971.162
,100.425,100.425,64.0417,649.611,971.247
,100.425,100.425,64.0452,659.983,971.232
,100.425,100.425,64.0486,649.273,1007.95
,100.425,100.425,64.0555,687.694,972.284
,100.425,100.425,64.0417,652.556,1026.73
,100.425,100.425,64.0417,673.503,1104.45
,100.425,100.425,64.0418,659.411,1259.89
,100.425,100.425,64.0425,649.217,1570.78
,100.425,100.425,64.0427,687.628,1363.52
,100.425,100.425,64.0428,652.465,
,100.425,100.425,64.0432,673.385,
,100.425,100.425,64.0425,659.231,
,100.425,100.425,98.6323,652.079,
,100.425,100.425,465.749,673.02,
,100.425,100.425,465.749,658.931,
,269.249,100.425,431.16,651.849,
,269.249,100.425,589.163,672.802,
,,100.425,1084.07,658.694,
,,100.425,1084.07,651.602,
,,100.425,926.062,672.583,
,,100.425,962.445,658.575,
,,100.425,1618.79,710.637,
,,100.425,1618.79,630.434,
,,269.249,1582.41,640.574,
,,269.249,1787.62,808.574,
,,,1787.62,808.574,
,,,1582.41,1000.57,
,,,1582.41,1000.57,
,,,1582.41,1384.57,
,,,1582.41,1384.57,
,,,1582.41,1128.57,
,,,1582.41,,
,,,1582.41,,
,,,1582.41,,
,,,1582.41,,
,,,1582.41,,
,,,1582.41,,
