RPFD, EPFD, Merged, Simple, WAH, EWAH 
139.835,109.449,109.351,0.000556946,504.948,706.754
139.835,109.449,109.351,0.000686646,729.48,760.648
139.835,109.449,109.351,0.000686646,781.375,752.758
139.835,109.449,109.351,0.000556946,717.026,767.828
139.835,109.449,109.351,0,725.426,769.456
139.835,109.449,109.351,0.000190735,732.871,787.304
139.835,109.449,109.351,0.000274658,745.254,809.904
139.835,109.449,109.351,0.00037384,746.473,845.411
139.835,109.449,109.351,0.00050354,734.66,871.669
139.835,109.449,109.351,0.000617981,755.48,870.279
139.835,109.449,109.351,0.00117493,796.984,890.435
139.835,109.449,109.351,0.00173187,768.133,891.322
139.835,109.449,109.351,0.00228882,767.508,922.607
139.835,109.449,109.351,0.00284576,785.168,911.728
221.629,109.449,109.351,0.00297546,783.894,925.486
221.628,109.449,109.351,0.00310516,782.852,943.939
221.628,109.449,109.351,0.00323486,769.66,944.064
221.628,201.5,197.461,0.00327301,760.098,959.63
221.628,201.499,197.46,0.0032959,755.914,966.915
221.628,201.499,197.46,0.00341034,758.016,973.736
221.628,201.499,197.46,0.00396729,755.66,986.404
221.628,201.499,197.46,0.00452423,755.66,992.24
221.628,201.499,197.46,0.00508118,743.406,1003.62
221.628,201.499,197.46,0.00563812,761.965,1008.96
221.628,201.499,197.46,0.00576782,781.875,1014.25
221.628,201.499,197.46,0.00589752,754.777,1056.65
221.628,201.499,197.46,0.00602722,769.945,1028.77
221.628,201.499,197.46,0.00606537,796.648,1028.7
221.628,201.499,197.46,0.00608826,780.59,1028.63
221.628,201.499,197.46,0.0062027,741.656,1028.54
221.628,105.601,197.46,0.00675964,752.406,1034.58
221.628,105.601,105.57,0.00731659,761.953,1040.45
221.628,105.601,105.57,0.00787354,754.539,1046.04
221.628,105.601,105.57,0.00843048,774.441,1051.5
221.628,105.601,105.57,0.00856018,751.532,1060.12
221.628,105.601,105.57,0.00868988,757.985,1065.86
221.628,105.601,105.57,0.00881958,758.449,1065.1
221.628,105.601,105.57,0.00885773,757.699,1064.28
221.628,105.601,105.57,0.00888062,757.201,1063.45
221.628,105.601,105.57,0.0089035,756.642,1066.57
221.628,105.601,105.57,0.00892639,744.552,1065.87
221.628,105.601,105.57,0.00905609,746.047,1071.28
221.628,105.601,105.57,32.0129,770.237,1078.3
221.628,105.601,105.57,64.0168,769.976,1082.98
221.628,105.601,105.57,64.0168,748.78,1086.83
221.628,105.601,105.57,64.0169,807.723,1090.06
221.628,105.601,105.57,64.0277,729.406,1092.87
221.628,105.601,105.57,64.0304,1097.66,1119.48
221.628,105.601,105.57,64.0332,1481.66,1097.45
221.628,105.601,105.57,64.0386,1481.66,1099.33
221.628,105.601,304.691,64.0386,1225.66,1102.1
221.628,105.601,304.691,64.0277,,1103.92
221.628,304.691,,64.0278,,1105.45
221.628,304.691,,64.0279,,1106.73
221.628,,,64.0417,,1107.85
221.628,,,64.0452,,1108.82
221.628,,,64.0486,,1131.01
221.628,,,64.0555,,1109.7
221.628,,,64.0417,,1110.49
221.628,,,64.0417,,1111.82
221.628,,,64.0418,,1112.72
99.769,,,64.0425,,1113.47
99.769,,,64.0427,,1114.07
99.769,,,64.0428,,1114.51
99.769,,,64.0432,,1114.86
99.769,,,64.0425,,1115.14
99.769,,,109.351,,1115.32
99.7695,,,642.277,,1115.4
99.769,,,642.277,,1115.38
99.769,,,596.968,,1115.36
99.769,,,730.386,,1115.37
99.769,,,1124.65,,1149.33
99.769,,,1124.65,,1119.31
99.769,,,991.234,,1130.08
99.769,,,1032.76,,1149.22
99.769,,,1727.97,,1191.49
304.691,,,1727.97,,1276.04
304.691,,,1686.44,,1445.13
,,,1927.09,,1783.31
,,,1927.09,,1557.86
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
,,,1686.44,,
