RPFD, EPFD, Merged, Simple, WAH, EWAH 
85.1831,74.9135,74.9057,0.000556946,428.109,860.66
85.1831,74.9135,74.9057,0.000686646,673.792,848.645
85.1831,74.9135,74.9057,0.000686646,818.27,869.267
85.1831,74.9135,74.9057,0.000556946,826.351,925.689
85.1831,74.9135,74.9057,0,833.407,922.458
85.1831,74.9135,74.9057,0.000190735,838.945,954.115
85.1831,74.9135,74.9057,0.000274658,850.547,955.873
167.727,153.59,74.9057,0.00037384,847.48,958.612
167.727,153.589,151.152,0.00050354,853.965,995.785
167.726,153.589,151.152,0.000617981,841.863,985.963
167.726,153.589,151.152,0.00117493,852.25,999.033
167.726,153.589,151.152,0.00173187,882.973,1011.85
167.726,153.589,151.152,0.00228882,869.008,1061.68
167.727,153.589,151.152,0.00284576,869.035,1052.03
167.726,153.589,151.152,0.00297546,869.031,1067.72
167.726,153.589,151.152,0.00310516,873.219,1088.17
167.726,153.589,151.152,0.00323486,848.859,1108.24
167.726,153.589,151.152,0.00327301,866.141,1129.9
167.726,153.589,151.152,0.0032959,866.004,1150.19
167.726,153.589,151.152,0.00341034,865.93,1168.96
167.726,153.589,151.152,0.00396729,886.828,1180.64
167.726,153.589,151.152,0.00452423,891.711,1195.81
167.726,153.589,151.152,0.00508118,864.645,1209.67
167.726,153.589,151.152,0.00563812,850.609,1215.71
167.726,153.589,151.152,0.00576782,863.676,1221.7
167.726,105.601,151.152,0.00589752,863.082,1272.97
167.726,105.601,151.152,0.00602722,862.457,1249.26
167.726,105.601,151.152,0.00606537,906.375,1263.73
167.726,105.601,105.57,0.00608826,849.734,1263.53
167.726,105.601,105.57,0.0062027,889.629,1263.35
167.726,105.601,105.57,0.00675964,888.918,1263.16
167.726,105.601,105.57,0.00731659,888.301,1268.95
167.726,105.601,105.57,0.00787354,887.801,1285.85
167.726,105.601,105.57,0.00843048,876.863,1287.54
167.726,105.601,105.57,0.00856018,876.863,1299.37
167.726,105.601,105.57,0.00868988,876.863,1297.53
167.726,105.601,105.57,0.00881958,876.863,1299.71
167.726,105.601,105.57,0.00885773,876.863,1308.93
167.726,105.601,105.57,0.00888062,889.273,1316.24
167.726,105.601,105.57,0.0089035,888.883,1323.23
167.726,105.601,105.57,0.00892639,888.449,1328.43
167.726,105.601,105.57,0.00905609,891.793,1332.41
167.726,105.601,105.57,32.0129,890.512,1336.97
167.726,105.601,105.57,64.0168,889.164,1339.75
167.726,105.601,105.57,64.0168,886.426,1341.82
167.726,105.601,105.57,64.0169,859.609,1343.47
167.726,105.601,105.57,64.0277,882.723,1344.79
167.726,105.601,105.57,64.0304,868.148,1366.99
99.769,105.601,105.57,64.0332,880.196,1347.01
99.769,105.601,105.57,64.0386,865.534,1347.62
99.769,105.601,105.57,64.0386,858.037,1348.06
99.769,105.601,105.57,64.0277,850.111,1348.33
99.769,105.601,105.57,64.0278,878.903,1348.28
99.769,105.601,105.57,64.0279,878.404,1348.27
99.769,105.601,105.57,64.0417,878.066,1384.05
99.769,105.601,105.57,64.0452,877.845,1363.84
99.769,105.601,105.57,64.0486,877.7,1414.08
99.769,105.601,105.57,64.0555,877.913,1490.41
99.769,105.601,105.57,64.0417,877.674,
99.769,105.601,105.57,64.0417,877.44,
99.769,105.601,105.57,64.0418,849.654,
99.769,105.601,105.57,64.0425,850.837,
99.769,105.601,105.57,64.0427,852.42,
99.769,105.601,105.57,64.0428,855.866,
99.7695,105.601,105.57,64.0432,845.734,
99.769,105.601,105.57,64.0425,861.308,
99.769,105.601,105.57,74.9057,933.308,
99.769,105.601,105.57,185.261,1029.31,
99.7695,105.601,105.57,185.261,,
99.769,105.601,105.57,174.398,,
99.7695,105.601,105.57,261.507,,
99.7695,105.601,105.57,515.714,,
99.769,105.601,105.57,515.714,,
99.769,105.601,105.57,428.605,,
99.7695,105.601,105.57,470.132,,
99.7695,105.601,105.57,1165.34,,
99.769,105.601,105.57,1165.34,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1158.37,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1123.81,,
99.769,105.601,105.57,1123.81,,
99.769,98.601,105.57,1123.81,,
98.601,64.0425,105.57,1123.81,,
64.0425,,105.57,1123.81,,
,,105.57,1123.81,,
,,98.601,1123.81,,
,,64.0425,,,
