RPFD, EPFD, Merged, Simple, WAH, EWAH 
140.489,113.626,113.02,0.000556946,325.537,697.086
140.489,113.626,113.021,0.000686646,670.065,712.453
140.489,113.626,113.02,0.000686646,721.584,733.316
140.489,113.626,113.02,0,698.573,742.734
140.489,113.626,113.02,0.00025177,715.326,749.181
140.489,113.626,113.02,0.00075531,696.76,767.967
140.489,113.626,113.02,0.00131226,673.914,785.894
140.489,113.626,113.02,0.00341034,680.758,832.992
140.489,113.626,113.02,0.00343323,688.846,866.269
140.489,113.626,113.02,0.00466156,684.26,870.597
140.489,113.626,113.02,0.0062027,702.178,897.769
263.103,231.732,226.345,0.00622559,696.947,904.617
263.102,231.731,226.345,0.00745392,704.002,916.238
263.102,231.731,226.345,0.00899506,753.459,952.281
263.102,231.731,226.345,0.00901794,712.264,927.101
263.102,231.731,226.345,0.0102463,751.986,967.031
263.102,231.731,226.345,0.0117874,712.264,941.777
263.102,231.731,226.345,0.0120163,701.76,941.793
263.102,231.731,226.345,32.0159,726.873,941.785
263.102,231.731,226.345,64.0197,712.264,941.754
263.102,231.731,226.345,64.0307,712.264,947.851
263.102,231.731,226.345,64.0334,712.264,953.769
263.102,231.731,226.345,64.0415,718.569,959.418
263.102,231.731,226.345,64.0415,724.479,964.922
263.102,231.731,226.345,64.0447,724.08,973.605
263.102,231.731,226.345,64.0481,714.065,979.422
263.102,158.579,226.345,64.0585,725.912,978.722
263.102,158.579,156.841,64.0446,724.565,977.964
263.102,158.579,156.841,64.0456,723.194,977.191
263.102,158.579,156.841,64.0595,721.826,980.354
263.102,158.579,156.841,64.063,720.604,979.697
263.102,158.579,156.841,64.0735,719.514,989.445
263.102,158.579,156.841,64.0595,732.123,994.695
263.102,158.579,156.841,113.02,706.541,1023.9
263.102,158.579,156.841,489.056,716.198,1002.5
263.102,158.579,156.841,489.056,715.135,1008.17
263.102,158.579,156.841,440.095,707.589,1011.5
263.102,158.579,156.841,602.38,728.298,1016.18
263.102,158.579,156.841,1105.54,728.303,1018.02
263.102,158.579,156.841,1105.54,706.466,1020.85
263.102,158.579,156.841,943.255,741.147,1022.96
263.102,158.579,156.841,1036.04,713.41,1045.7
263.102,158.579,156.841,1946.54,720.159,1026.87
263.102,158.579,156.841,1946.54,712.921,1028.23
263.102,158.579,156.841,1853.76,712.71,1029.03
263.102,158.579,156.841,1873.94,712.58,1029.5
263.102,158.579,156.841,1947.9,712.483,1029.57
263.102,158.579,156.841,1927.72,712.292,1059.61
263.103,158.579,156.841,1942.46,712.265,1032.92
263.102,158.579,156.841,1927.72,689.967,1032.14
177.352,85.454,156.841,1927.72,709.115,1047.93
177.352,85.454,156.841,1927.72,698.315,1075.37
177.352,85.454,156.841,1927.72,720.701,1094.18
177.352,85.454,156.841,1927.72,701.783,1111.69
177.352,78.7978,156.841,1927.72,723.51,1090.29
177.352,64.0595,156.841,1927.72,738.213,
177.352,,156.841,1927.72,773.217,
177.352,,84.2358,1927.72,730.479,
177.352,,84.2353,1927.72,719.783,
177.352,,84.2353,1927.72,,
177.352,,84.2353,1927.72,,
177.352,,78.7978,,,
177.352,,64.0595,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.353,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.353,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
177.352,,,,,
91.3095,,,,,
91.3095,,,,,
91.3095,,,,,
91.3095,,,,,
91.3095,,,,,
91.31,,,,,
91.3095,,,,,
91.3095,,,,,
91.3095,,,,,
78.7978,,,,,
64.0595,,,,,
