RPFD, EPFD, Merged, Simple, WAH, EWAH 
135.556,110.458,109.974,0.000556946,237.792,775.977
135.556,110.458,109.974,0.000686646,495.222,794.332
135.556,110.458,109.974,0.000686646,768.316,809.016
135.556,110.458,109.974,0,821.003,821.657
135.556,110.458,109.974,0.00025177,797.601,826.444
135.556,110.458,109.974,0.00075531,812.468,844.293
333.497,110.458,109.974,0.00131226,777.031,881.592
333.497,110.458,109.974,0.00341034,786.456,891.685
333.497,110.458,109.974,0.00343323,787.741,898.447
333.497,110.458,109.974,0.00466156,790.015,899.232
333.497,110.458,274.923,0.0062027,811.015,899.478
333.497,110.458,274.923,0.00622559,811.015,911.724
333.497,110.458,274.923,0.00745392,823.425,917.459
333.497,110.458,274.923,0.00899506,823.034,947.791
333.497,110.458,274.923,0.00901794,815.132,931.81
333.497,110.458,274.923,0.0102463,797.011,937.744
333.497,282.947,274.923,0.0117874,797.011,937.15
333.497,282.946,274.923,0.0120163,797.011,936.502
333.497,282.946,274.923,32.0159,807.885,935.834
333.497,282.946,274.923,64.0197,816.874,939.086
333.497,282.946,274.923,64.0307,816.3,938.516
333.497,282.946,274.923,64.0334,814.627,948.377
333.497,282.946,274.923,64.0415,813.686,953.729
333.497,282.946,274.923,64.0415,813.049,960.23
333.497,282.946,274.923,64.0447,813.054,963.266
333.497,282.946,274.923,64.0481,812.423,966.128
333.497,282.946,274.923,64.0585,812.062,968.625
333.497,282.946,274.923,64.0446,812.161,972.714
333.497,282.946,274.923,64.0456,811.826,975.54
333.497,282.946,274.923,64.0595,825.591,977.413
333.497,282.946,108.923,64.063,825.331,980.286
333.497,282.946,108.923,64.0735,825.076,982.415
333.497,282.946,108.923,64.0595,804.016,984.107
333.497,282.946,108.923,109.974,798.925,985.452
333.497,282.946,108.923,544.727,823.835,987.13
333.497,282.946,108.923,544.727,817.366,988.197
333.497,282.946,108.923,498.813,824.128,988.85
105.001,282.946,108.923,709.677,805.929,989.153
105.001,282.946,108.923,1398.32,868.023,989.13
105.001,282.946,108.923,1398.32,841.913,989.358
105.001,108.985,108.923,1187.46,826.929,1001.93
182.04,108.985,108.923,1232.32,839.253,1033.35
182.04,108.985,108.923,1945.52,839.819,1043.88
182.04,108.985,108.923,1945.52,826.929,1057.37
182.04,108.985,108.923,1900.66,840.933,1040.46
182.04,108.985,108.923,1991.38,841.386,1068.73
182.04,108.985,108.923,2307.43,841.761,1079.56
182.04,108.985,108.923,2307.43,842.077,1058.22
182.04,108.985,154.774,2216.72,837.284,1062.68
182.04,108.985,154.774,2319.13,837.358,1091.04
182.04,108.985,154.774,2216.72,837.401,1075.48
182.04,108.985,154.774,2216.72,837.444,1105.67
182.04,108.985,154.774,2216.72,837.472,1089.51
182.04,108.985,154.774,2216.72,837.487,1090.19
182.04,108.985,154.774,2216.72,837.468,1090.82
182.04,108.985,154.774,2216.72,837.433,1124.03
182.04,108.985,154.774,2216.72,880.929,1098.9
182.04,108.985,154.774,2216.72,880.929,1099.36
182.04,108.985,154.774,2216.72,976.929,1107.48
182.04,108.985,154.774,2216.72,912.924,1136.96
166.466,108.985,154.774,2216.72,,1118.01
64.0595,108.986,154.774,2216.72,,1153.01
,108.985,154.774,,,1133.83
,108.985,166.466,,,1169.08
,108.985,64.0595,,,1149.72
,108.985,,,,1185.17
,108.985,,,,1160.37
,108.985,,,,1170.91
,108.985,,,,1201.17
,108.985,,,,1177.28
,108.985,,,,1240.13
,108.985,,,,1321.06
,108.985,,,,1267.11
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,160.372,,,,
,166.466,,,,
,64.0595,,,,
