RPFD, EPFD, Merged, Simple, WAH, EWAH 
121.648,93.4376,93.3946,0.000556946,24.9809,0.000556946
121.648,93.4371,93.3941,0.000686646,47.6919,14.7469
121.648,93.4371,93.3941,0.000686646,76.8013,14.7469
121.648,93.4371,93.3941,0.000556946,93.6216,24.6023
121.648,93.4371,93.3941,0,106.102,24.6023
121.648,93.4371,93.3941,0.0001297,106.102,35.2819
121.648,93.4371,93.3941,0.000183105,124.055,35.2819
121.648,93.4371,93.3941,0.00025177,120.555,46.8834
121.648,93.4371,93.3941,0.000335693,127.555,46.8834
121.648,93.4371,93.3941,0.000450134,112.652,59.981
121.648,93.4371,93.3941,0.00100708,142.789,59.981
121.648,93.4371,93.3941,0.00156403,153.293,75.4341
121.648,93.4371,93.3941,0.00212097,146.289,75.4341
121.648,93.4371,93.3941,0.00267792,112.652,91.934
121.648,93.4371,93.3941,0.00280762,144.793,91.934
121.648,93.4371,93.3941,0.00293732,155.297,76.8559
121.648,93.4371,93.3941,0.00306702,148.293,76.9186
121.648,93.4371,93.3941,0.00310516,112.652,90.6529
121.648,93.4371,93.3941,0.00312805,147.297,97.2778
121.648,93.4371,93.3941,0.00324249,157.801,97.2778
121.648,93.4371,93.3941,0.00379944,150.797,103.766
121.648,93.4371,93.3941,0.00435638,150.793,103.766
121.648,93.4371,93.3941,0.00491333,126.652,120.446
121.648,93.4371,93.3941,0.00547028,159.758,113.098
121.648,93.4371,93.3941,0.00559998,165.012,141.766
121.648,93.4371,93.3941,0.00572968,175.516,125.817
121.648,93.4371,93.3941,0.00585938,168.512,157.938
121.648,93.4371,93.3941,0.00589752,154.508,138.907
121.648,93.4371,93.3941,0.00592041,126.652,175.055
121.648,93.4371,93.3941,0.0059433,162.649,153.551
121.648,93.4371,93.3941,0.00596619,167.902,180.86
121.648,93.4371,93.3941,0.00605011,178.406,194.919
121.648,93.4371,93.3941,32.0099,171.402,170.626
121.648,93.4371,93.3941,64.0138,199.406,200.782
121.648,93.4371,93.3941,64.0138,199.406,216.684
121.648,93.4371,93.3941,64.0139,185.402,188.969
121.648,93.4371,93.3941,64.0247,123.375,206.215
121.648,93.4371,93.3941,64.0274,123.375,182.102
121.648,93.4371,93.3941,64.0302,140.789,202.583
121.648,93.4371,93.3941,64.0356,137.289,188.848
121.648,93.4371,93.3941,64.0356,144.289,211.418
121.648,93.4371,93.3941,64.0247,143.816,197.805
121.648,93.4371,93.3941,64.0248,154.293,232.294
69.4683,93.4371,93.3941,64.0249,164.797,232.293
69.4683,93.4371,93.3941,64.0387,157.793,197.805
69.4683,93.4371,93.3941,64.0421,150.91,196.485
69.4683,93.4371,93.3941,64.0456,153.535,191.606
69.4683,93.4371,93.3941,64.0525,151.785,191.606
69.4683,93.4371,93.3941,64.0387,105.655,154.924
69.4683,93.4371,93.3941,93.3941,105.654,154.923
69.4683,93.4371,93.3941,382.734,105.658,154.923
68.4722,93.4371,93.3941,382.734,105.656,154.923
64.0387,93.4371,93.3941,353.378,105.664,154.923
,93.4371,93.3941,357.312,105.66,154.923
,93.4371,93.3941,371.578,105.676,154.922
,93.4371,93.3941,367.644,105.668,154.922
,93.4371,93.3941,372.078,105.699,154.922
,93.4371,93.3941,367.644,105.683,154.922
,93.4371,93.3941,367.644,105.746,154.922
,93.4371,93.3941,367.644,105.715,154.922
,93.4371,93.3941,367.644,105.84,154.921
,93.4371,93.3941,367.644,105.777,154.921
,93.4371,93.3941,367.644,106.027,154.921
,93.4371,67.9724,367.644,105.902,154.921
,93.4371,67.9724,367.644,106.402,17.2766
,93.4371,67.9724,367.643,106.152,17.2765
,93.4371,67.9724,367.643,107.152,17.2763
,93.4371,67.9724,,106.652,17.2761
,93.4371,68.4722,,108.652,17.2759
,93.4371,64.0387,,107.652,17.2757
,93.4371,,,111.656,17.2751
,93.4371,,,109.656,0.000999451
,93.4371,,,117.66,0
,93.4371,,,113.656,
,93.4371,,,129.66,
,93.4371,,,121.656,
,93.4371,,,121.656,
,93.4371,,,121.655,
,93.4371,,,105.645,
,68.1792,,,98.7344,
,68.1792,,,91.9453,
,68.1792,,,85.2852,
,68.1792,,,85.2845,
,68.1792,,,85.2845,
,68.4722,,,85.2446,
,64.0387,,,77.7915,
,,,,69.0454,
,,,,59.229,
,,,,48.4086,
,,,,36.3383,
,,,,22.4086,
,,,,7.03365,
,,,,7.03298,
,,,,7.00596,
,,,,0.000999451,
,,,,0,
