RPFD, EPFD, Merged, Simple, WAH, EWAH 
166.848,121.492,120.746,0.000556946,379.25,876.026
166.847,121.492,120.746,0.000686646,608.551,923.651
166.847,121.492,120.746,0.000686646,885.454,981.796
166.847,121.492,120.746,0.000556946,884.971,1042.58
166.847,121.492,120.746,0,898.608,1023.64
166.847,121.492,120.746,0.0001297,927.881,1058.57
166.847,121.492,120.746,0.000183105,917.108,1085.63
166.847,121.492,120.746,0.00025177,975.835,1126.39
166.847,121.492,120.746,0.000335693,940.577,1124.4
166.847,121.492,120.746,0.000450134,898.916,1133.2
166.847,121.492,120.746,0.00100708,910.588,1141.68
166.847,121.492,120.746,0.00156403,910.37,1161.61
166.847,121.492,120.746,0.00212097,925.831,1178.52
166.847,121.492,120.746,0.00267792,935.842,1203.94
166.847,121.492,120.746,0.00280762,923.874,1215.1
166.847,121.492,120.746,0.00293732,925.085,1230.83
166.847,121.492,120.746,0.00306702,922.85,1251.2
166.847,121.492,120.746,0.00310516,909.065,1280.05
166.847,121.492,120.746,0.00312805,933.647,1293.54
166.847,121.492,120.746,0.00324249,922.85,1312.43
166.847,121.492,120.746,0.00379944,947.131,1329.6
166.847,121.492,120.746,0.00435638,961.065,1346.59
166.847,121.492,120.746,0.00491333,960.991,1353.18
166.847,121.492,120.746,0.00547028,960.917,1371.43
166.847,121.492,120.746,0.00559998,936.85,1388
166.847,121.492,120.746,0.00572968,951.522,1398.3
166.847,121.492,120.746,0.00585938,951.127,1407.63
166.848,121.492,120.746,0.00589752,950.67,1407.48
166.847,121.492,120.746,0.00592041,950.17,1407.32
166.847,121.492,120.746,0.0059433,963.323,1407.17
166.847,121.492,120.746,0.00596619,962.698,1418.94
166.847,121.492,120.746,0.00605011,962.1,1429.88
166.847,121.492,149.926,32.0099,944.706,1444.07
166.847,121.492,149.925,64.0138,950.85,1442.33
158.476,121.492,149.925,64.0138,963.616,1444.5
158.476,121.492,149.925,64.0139,962.905,1449.13
158.476,121.492,149.925,64.0247,962.288,1460.73
158.476,121.492,149.925,64.0274,961.788,1467.76
158.476,121.492,149.925,64.0302,950.85,1472.98
158.476,121.492,149.925,64.0356,929.85,1476.97
158.476,151.398,149.925,64.0356,950.85,1479.73
158.476,151.398,149.925,64.0247,950.85,1505.26
158.476,151.398,149.925,64.0248,950.85,1484.31
158.476,151.398,149.925,64.0249,963.26,1486.37
158.476,151.398,149.925,64.0387,962.87,1488.02
158.476,151.398,149.925,64.0421,962.436,1489.34
158.476,151.398,149.925,64.0456,961.967,1490.96
158.476,151.398,149.925,64.0525,965.135,1491.98
158.476,151.398,149.925,64.0387,922.846,1492.58
158.476,151.398,149.925,120.746,948.459,1492.85
158.476,151.398,149.925,590.546,933.087,1492.79
158.476,151.398,184.296,590.546,946.413,1492.78
158.476,151.398,184.296,533.839,934.686,1563.84
158.476,151.398,,619.726,958.627,1563.84
158.476,151.398,,850.355,957.592,1651.25
158.476,151.398,,850.355,956.709,1826.08
158.476,151.398,,764.468,957.413,1709.53
158.476,151.398,,884.726,956.135,
158.476,151.398,,884.726,955.182,
158.476,151.398,,764.468,954.462,
158.476,151.398,,764.468,926.155,
158.476,184.296,,764.468,928.836,
158.476,184.296,,764.468,932.023,
158.476,,,764.468,939.639,
158.476,,,764.468,953.103,
158.476,,,764.468,931.534,
158.476,,,764.468,938.259,
158.476,,,764.468,952.052,
158.476,,,764.468,930.832,
158.476,,,,965.733,
158.476,,,,922.846,
158.476,,,,944.826,
158.476,,,,951.661,
158.476,,,,937.427,
158.476,,,,924.996,
158.476,,,,937.166,
158.476,,,,926.566,
158.476,,,,936.911,
158.476,,,,926.349,
158.476,,,,955.881,
158.476,,,,1007.01,
158.476,,,,1103.01,
158.476,,,,1295.01,
158.476,,,,1167.01,
158.477,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
158.476,,,,,
184.296,,,,,
184.296,,,,,
