RPFD, EPFD, Merged, Simple, WAH, EWAH 
0,111.023,110.789,0.000556946,61.2817,0
153.695,111.023,110.789,0.000686646,119.036,117.051
153.695,111.023,110.789,0.000686646,142.91,183.657
153.695,111.023,110.789,0.000556946,177.8,179.645
153.695,111.023,110.789,0,180.753,193.657
153.695,111.023,110.789,0.0001297,200.32,185.403
153.695,111.023,110.789,0.000183105,197.89,202.793
153.695,111.023,110.789,0.00025177,199.644,193.266
153.695,111.023,110.789,0.000335693,199.199,212.907
153.695,111.023,110.789,0.000450134,200.952,201.379
153.695,111.023,110.789,0.00100708,213.159,223.625
153.695,111.023,110.789,0.00156403,209.659,210.489
153.695,111.023,110.789,0.00212097,187.753,236.34
153.695,111.023,110.789,0.00267792,215.745,221.442
153.695,111.023,110.789,0.00280762,212.245,250.871
153.695,111.023,110.789,0.00293732,187.753,233.621
153.695,111.023,110.789,0.00306702,217.89,266.231
153.695,111.023,110.789,0.00310516,228.394,246.438
153.695,111.023,110.789,0.00312805,221.39,282.836
153.695,111.023,110.789,0.00324249,219.894,260.844
153.695,111.023,110.789,0.00379944,230.398,302.176
153.695,111.023,110.789,0.00435638,223.394,277.633
153.695,111.023,110.789,0.00491333,215.394,323.395
153.695,111.023,110.789,0.00547028,232.902,295.715
153.695,111.023,110.789,0.00559998,225.898,344.66
153.695,111.023,110.789,0.00572968,201.753,313.977
153.695,111.023,110.789,0.00585938,233.109,302.59
153.695,111.023,110.789,0.00589752,250.616,306.288
153.695,111.023,110.789,0.00592041,243.613,306.444
153.695,111.023,110.789,0.0059433,201.753,309.275
153.695,111.023,110.789,0.00596619,235.999,309.728
153.695,111.023,110.789,0.00605011,253.507,312.958
153.695,111.023,110.789,32.0099,274.507,316.423
153.695,111.023,110.789,64.0138,260.503,320.135
153.695,111.023,110.789,64.0138,251.038,324.138
153.695,111.023,110.789,64.0139,267.644,324.728
153.695,111.023,110.789,64.0247,215.568,329.388
153.695,111.023,110.789,64.0274,210.295,333.712
153.695,111.023,110.789,64.0302,218.559,334.403
153.695,111.023,110.789,64.0356,213.788,350.091
153.695,111.023,110.789,64.0356,219.663,339.731
153.695,111.023,110.789,64.0247,219.776,356.446
153.695,111.023,110.789,64.0248,220.223,345.392
153.695,111.023,110.789,64.0249,224.205,346.142
153.695,111.023,110.789,64.0387,217.695,363.353
153.695,111.023,110.789,64.0421,221.878,346.142
153.695,111.023,110.789,64.0456,222.503,352.255
153.695,111.023,110.789,64.0525,233.007,389.509
153.695,111.023,110.789,64.0387,218.456,370.88
153.695,111.023,110.789,110.789,226.624,245.059
153.695,111.023,110.789,545.875,213.788,245.059
89.2066,111.023,110.789,545.875,227.269,245.059
89.2066,111.023,110.789,499.125,244.777,245.059
89.2066,111.023,110.789,515.851,231.374,245.058
89.2066,111.023,110.789,581.437,233.128,245.058
89.2066,111.023,110.789,581.437,212.788,245.058
89.2066,111.023,110.789,564.71,230.792,245.057
89.2066,111.023,110.789,579.64,254.792,245.057
89.2066,111.023,110.789,564.71,238.788,245.057
89.2066,111.023,110.789,564.71,,245.057
89.2066,111.023,110.789,564.71,,245.056
89.2071,111.023,110.789,564.71,,245.056
89.2066,111.023,110.789,564.71,,245.056
89.2066,81.4058,110.789,564.71,,245.055
89.2066,81.4058,80.7652,564.71,,245.055
89.2066,81.4058,80.7652,564.71,,245.055
89.2066,81.4058,80.7652,564.71,,245.055
89.2066,81.4058,80.7652,564.71,,245.054
89.2066,81.4058,80.7652,,,245.054
89.2066,81.4063,80.7652,,,245.054
89.2066,81.4058,80.7652,,,245.054
89.2066,81.4058,80.7652,,,245.053
89.2066,81.4058,80.7652,,,245.053
89.2066,81.4058,80.7652,,,245.053
89.2066,81.4058,80.7652,,,245.052
89.2066,81.4058,80.7652,,,245.052
89.2066,81.4058,80.7652,,,245.052
89.2066,81.4058,80.7652,,,245.052
89.2066,78.9683,80.7652,,,245.051
78.9683,64.0387,78.9683,,,245.051
64.0387,,64.0387,,,245.051
,,,,,245.051
,,,,,245.05
,,,,,245.05
,,,,,245.05
,,,,,245.049
,,,,,151.905
,,,,,17.2413
,,,,,17.241
,,,,,17.2407
,,,,,17.24
,,,,,0.000999451
,,,,,0
