RPFD, EPFD, Merged, Simple, WAH, EWAH 
32.0129,74.9135,74.9057,0.000556946,34.9966,0
85.1831,74.9135,74.9057,0.000686646,73.8785,21.2938
85.1831,74.9135,74.9057,0.000686646,118.635,21.2938
85.1831,74.9135,74.9057,0.000556946,122.124,34.3914
85.1831,74.9135,74.9057,0,122.124,34.3914
85.1831,74.9135,74.9057,0.000190735,156.768,49.8444
85.1831,74.9135,74.9057,0.000274658,167.272,49.8444
85.1836,74.9135,74.9057,0.00037384,160.268,36.2509
85.1831,74.9135,74.9057,0.00050354,125.307,57.8601
85.1831,74.9135,74.9057,0.000617981,163.667,65.3678
85.1831,76.6792,74.9057,0.00117493,174.171,57.9929
85.1831,76.6792,76.0424,0.00173187,167.167,72.9615
82.3628,76.6792,76.0424,0.00228882,195.171,70.7935
82.3628,76.6792,76.0424,0.00284576,135.069,76.1411
82.3628,105.602,76.0424,0.00297546,135.069,81.5156
82.3628,105.601,105.57,0.00310516,152.749,98.1484
82.3628,105.601,105.57,0.00323486,149.249,89.832
82.3628,105.601,105.57,0.00327301,141.897,115.73
82.3628,105.601,105.57,0.0032959,159.831,115.718
82.3628,105.601,105.57,0.00341034,170.335,142.348
82.3628,105.601,105.57,0.00396729,163.331,131.727
82.3628,105.601,105.57,0.00452423,152.401,172.43
82.3628,105.601,105.57,0.00508118,162.905,149.953
82.3628,105.601,105.57,0.00563812,155.901,153.281
82.3628,105.601,105.57,0.00576782,163.092,153.402
99.769,105.601,105.57,0.00589752,173.596,177.32
99.7695,105.601,105.57,0.00602722,166.592,162.953
99.769,105.601,105.57,0.00606537,163.155,180.836
99.769,105.601,105.57,0.00608826,173.659,164.289
99.769,105.601,105.57,0.0062027,166.655,186.23
99.769,105.601,105.57,0.00675964,163.198,168.348
99.769,105.601,105.57,0.00731659,173.702,190.734
99.769,105.601,105.57,0.00787354,166.698,174.109
99.769,105.601,105.57,0.00843048,161.112,196.883
99.769,105.601,105.57,0.00856018,163.737,179.844
99.769,105.601,105.57,0.00868988,161.987,212.109
99.769,105.601,105.57,0.00881958,126.741,179.844
99.769,105.601,105.57,0.00885773,126.741,183.703
99.769,105.601,105.57,0.00888062,164.979,196.648
99.769,105.601,105.57,0.0089035,175.483,215.398
99.769,105.601,105.57,0.00892639,168.479,194.137
99.769,105.601,105.57,0.00905609,142.815,190.309
99.769,105.601,105.57,32.0129,153.319,180.234
99.7695,105.601,105.57,64.0168,146.315,177.344
99.769,105.601,105.57,64.0168,160.421,188.91
99.7695,105.601,105.57,64.0169,162.171,183.125
99.769,105.601,105.57,64.0277,130.807,206.254
99.769,105.601,105.57,64.0304,130.807,194.687
99.769,105.601,105.57,64.0332,85.9656,194.687
99.769,105.601,105.57,64.0386,85.9571,62.1314
99.769,105.601,105.57,64.0386,78.7813,62.1312
99.769,105.601,105.57,64.0277,71.4844,62.131
99.769,105.601,105.57,64.0278,64.0547,62.1308
99.769,105.601,105.57,64.0279,56.5157,62.1306
99.769,105.601,105.57,64.0417,51.168,62.1304
99.769,105.601,105.57,64.0452,45.7891,62.1302
99.769,105.601,105.57,64.0486,40.3907,62.13
99.769,105.601,105.57,64.0555,40.39,62.1298
99.769,105.601,105.57,64.0417,40.3501,62.1296
99.769,105.601,105.57,64.0417,29.5298,62.1294
99.769,105.601,105.57,64.0418,17.4595,62.1292
99.769,105.601,105.57,64.0425,3.5298,62.129
99.769,105.601,105.57,64.0427,3.52914,62.1288
99.769,105.601,105.57,64.0428,3.50211,62.1285
99.769,105.601,105.57,64.0432,0.000999451,62.1283
99.769,105.601,105.57,64.0425,0,62.1281
99.769,105.601,105.57,74.9057,,62.1279
99.769,105.601,105.57,185.261,,62.1277
99.769,105.601,105.57,185.261,,62.1275
99.769,105.601,105.57,174.398,,62.1273
99.769,105.601,105.57,186.398,,62.1271
99.769,105.601,105.57,233.046,,62.1269
99.769,105.601,105.57,233.046,,62.1267
99.769,69.1753,105.57,221.046,,62.1265
99.769,64.0425,105.57,262.574,,62.1263
99.769,,105.57,957.781,,62.1261
99.769,,105.57,957.781,,62.1259
99.769,,69.1753,916.253,,62.1257
99.769,,64.0425,921.386,,62.1255
99.769,,,916.253,,62.1253
99.769,,,916.253,,62.125
99.769,,,916.253,,62.1248
99.769,,,916.253,,62.1246
99.769,,,916.253,,62.1244
99.769,,,916.253,,62.1242
99.769,,,916.253,,12.3352
99.769,,,916.253,,12.335
99.769,,,916.252,,12.3348
99.769,,,916.252,,12.3346
99.769,,,916.252,,12.3344
99.769,,,,,12.3337
99.769,,,,,0.000999451
99.7695,,,,,0
99.769,,,,,
69.1753,,,,,
64.0425,,,,,
64.0423,,,,,
