4 var
    1.064	    0.000	    3.506	    0.056	    0.039	    4.959
    1.063	    0.000	    3.505	    0.056	    0.039	    4.908
    1.043	    0.000	    3.314	    0.050	    0.039	    4.672
    1.053	    0.000	    3.365	    0.055	    0.040	    4.787
    1.060	    0.000	    3.320	    0.055	    0.039	    4.756
    1.038	    0.000	    3.313	    0.048	    0.039	    4.671
    1.064	    0.000	    3.360	    0.055	    0.039	    4.778
    1.063	    0.000	    3.362	    0.054	    0.039	    4.875
    1.054	    0.000	    3.381	    0.060	    0.040	    4.829
    1.038	    0.000	    3.323	    0.052	    0.040	    4.734
    1.014	    0.000	    3.230	    0.055	    0.040	    4.627
    1.011	    0.000	    3.365	    0.054	    0.040	    4.717
    0.998	    0.000	    3.437	    0.054	    0.040	    4.945
    1.187	    0.000	    3.239	    0.149	    0.043	    4.893
    1.015	    0.000	    3.449	    0.053	    0.040	    4.836
    0.986	    0.000	    3.415	    0.048	    0.040	    4.752
    1.013	    0.000	    3.895	    0.054	    0.041	    5.347
    1.001	    0.000	    3.543	    0.053	    0.040	    4.900
    1.158	    0.000	    3.526	    0.140	    0.043	    5.215
    1.016	    0.000	    3.512	    0.055	    0.040	    4.921
    1.519	    0.000	    3.862	    0.055	    0.041	    5.724
    1.633	    0.000	    4.241	    0.084	    0.042	    6.294
    1.507	    0.000	    3.706	    0.053	    0.041	    5.608
    1.474	    0.000	    3.936	    0.050	    0.041	    5.748
    1.473	    0.000	    4.569	    0.049	    0.041	    6.425
    1.528	    0.000	    4.001	    0.055	    0.041	    5.936
    1.514	    0.000	    4.040	    0.054	    0.041	    5.871
    1.517	    0.000	    3.993	    0.055	    0.041	    5.852
    1.650	    0.000	    4.052	    0.095	    0.043	    6.081
    1.465	    0.000	    3.856	    0.049	    0.041	    5.743
    2.286	    0.000	    4.351	    0.052	    0.044	    6.974
    2.147	    0.000	    4.553	    0.048	    0.044	    7.078
    2.146	    0.000	    4.553	    0.048	    0.044	    7.086
    2.301	    0.000	    4.275	    0.053	    0.044	    6.910
    2.291	    0.000	    4.320	    0.054	    0.044	    7.004
    2.165	    0.000	    4.643	    0.051	    0.044	    7.203
    2.128	    0.000	    4.253	    0.048	    0.044	    6.769
    2.287	    0.000	    4.354	    0.056	    0.044	    7.041
    2.140	    0.000	    4.562	    0.048	    0.044	    7.045
    2.301	    0.000	    4.301	    0.056	    0.044	    6.938
    2.751	    0.000	    4.976	    0.054	    0.050	    8.077
    2.545	    0.000	    5.197	    0.050	    0.050	    8.090
    2.721	    0.000	    4.903	    0.052	    0.050	    7.975
    2.544	    0.000	    5.123	    0.050	    0.050	    8.009
    2.548	    0.000	    5.472	    0.050	    0.050	    8.433
    3.059	    0.000	    5.611	    0.067	    0.051	    9.119
    2.704	    0.000	    4.932	    0.053	    0.050	    8.019
    2.727	    0.000	    4.942	    0.052	    0.050	    8.043
    2.735	    0.000	    5.049	    0.054	    0.050	    8.178
    2.674	    0.000	    4.934	    0.054	    0.050	    7.944
3 var
    0.686	    0.000	    2.579	    0.062	    0.044	    3.595
    0.687	    0.000	    2.193	    0.042	    0.042	    3.128
    0.683	    0.000	    2.195	    0.041	    0.042	    3.197
    0.684	    0.000	    2.173	    0.040	    0.042	    3.121
    0.687	    0.000	    2.348	    0.040	    0.042	    3.360
    0.680	    0.000	    2.308	    0.039	    0.042	    3.256
    0.687	    0.000	    2.168	    0.040	    0.042	    3.110
