1 , 1836667 , 87.5617 , 16077969 , 15488989 , 28552 , 31595510 , 4121
2 , 991 , 0.0472452 ,  , 53295 , 789 , 54084 , 
3 , 4975 , 0.237179 ,  , 206363 , 876 , 207239 , 
4 , 12762 , 0.608419 , 87 , 379302 , 202 , 379591 , 
5 , 23207 , 1.10638 , 24 , 502384 ,  , 502408 , 
6 , 21782 , 1.03844 , 30 , 394213 ,  , 394243 , 
7 , 3364 , 0.160376 , 30 , 42197 ,  , 42227 , 1
8 , 15978 , 0.761739 ,  , 72552 ,  , 72552 , 
9 , 119718 , 5.70747 ,  , 649671 , 32073 , 681744 , 30909
10 , 14104 , 0.672398 ,  , 138568 , 19147 , 157715 , 64
11 , 18766 , 0.894655 ,  , 177524 , 34466 , 211990 , 82
12 , 7977 , 0.380298 ,  , 62252 , 24701 , 86953 , 
13 , 4986 , 0.237704 ,  , 15431 , 31721 , 47152 , 
14 , 3586 , 0.17096 ,  , 977 , 28789 , 29766 , 
15 , 55 , 0.00262208 ,  ,  , 341 , 341 , 
16 , 850 , 0.0405231 ,  ,  , 2139 , 2139 , 
17 , 6067 , 0.28924 ,  ,  , 15227 , 15227 , 2767
18 , 944 , 0.0450045 ,  ,  , 4784 , 4784 , 16
19 , 558 , 0.0266022 ,  ,  , 2156 , 2156 , 3
20 , 132 , 0.006293 ,  ,  , 791 , 791 , 
21 , 70 , 0.0033372 ,  ,  , 516 , 516 , 
24 , 29 , 0.00138255 ,  ,  , 19 , 19 , 14
