0,0.8288,0.7799,0.0966,0.0348,1.9798
0,0.7962,1.1046,0.0883,0.0399,2.2634
0,1.3819,1.4276,0.0956,0.0401,3.1347
0,2.9733,1.7337,0.0901,0.0608,5.0817
0,3.5505,2.4734,0.081,0.1746,6.6998
0,0.4253,0.3295,0.0638,0.0434,1.0043
0,1.3289,0.7245,0.0559,0.0858,2.4186
0,1.9881,0.9289,0.0533,0.3553,4.0269
0,1.4819,0.7568,0.0568,0.1225,2.6955
0,1.949,0.9298,0.055,0.267,3.807
0,0.0306,0.2217,0.0268,0.034,0.4227
0,0.116,0.3246,0.0312,0.0373,0.6374
0,0.2185,0.4205,0.028,0.0475,0.8381
0,0.4164,0.519,0.0276,0.0624,1.1756
0,1.5499,0.7013,0.0457,0.2033,2.8921
