0,0.7762,1.24925,0.05995,0.0338,2.32685
0,0.715,1.4628,0.05545,0.0388,2.48225
0,1.2756,1.5888,0.0628,0.03905,3.20655
0,2.80265,1.83705,0.06825,0.0594,5.0127
0,3.2846,2.03325,0.0639,0.15575,5.9839
0,0.40935,0.8841,0.04255,0.0421,1.5576
0,1.2579,1.0825,0.04965,0.08355,2.74275
0,1.87995,1.30025,0.04535,0.31365,4.25355
0,1.40405,1.08015,0.0433,0.1122,2.9473
0,2.0371,1.4126,0.04875,0.26745,4.55265
0,0.03485,0.5586,0.0283,0.03415,0.7938
0,0.11785,0.62355,0.03025,0.03755,0.9497
0,0.22235,0.694,0.02745,0.04735,1.1502
0,0.4505,0.79225,0.03415,0.06245,1.51315
0,1.3267,0.96165,0.02825,0.202,2.9405
